A̱o,Trimestre,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos)
2022,1,10.611.390,12.619,10.624.009,"73,88","23,05",51.432.896
2021,4,10.476.933,12.861,10.489.794,"73,18","22,81",45.467.887
2021,3,10.075.184,10.357,10.085.541,"70,58","21,98",42.999.944
2021,2,9.852.702,10.382,9.863.084,"69,24","21,55",38.239.667
2021,1,9.637.956,10.016,9.647.972,"67,95","21,13",36.676.371
2020,4,9.561.546,10.016,9.571.562,"67,62","21,01",33.539.703
2020,3,9.346.183,10.016,9.356.199,"66,31","20,59",31.997.445
2020,2,9.021.040,10.016,9.031.056,"64,21","19,92",32.102.476
2020,1,8.802.435,9.991,8.812.426,"62,86","19,48",29.946.216
2019,4,8.783.053,10.128,8.793.181,"62,92","19,49",24.169.251
2019,3,9.142.891,21.793,9.164.684,"65,79","20,36",21.652.748
2019,2,8.938.427,21.754,8.960.181,"64,53","19,96",20.743.118
2019,1,8.626.323,21.812,8.648.135,"62,48","19,31",20.207.414
2018,4,8.451.841,21.814,8.473.655,"61,42","18,97",16.637.687
2018,3,8.320.223,26.812,8.347.035,"60,69","18,73",15.410.981
2018,2,8.083.533,26.911,8.110.444,"59,16","18,24",14.319.467
2018,1,8.009.981,27.072,8.037.053,"58,82","18,12",13.171.459
2017,4,7.842.778,27.444,7.870.222,"57,78","17,79",11.226.127
2017,3,7.696.594,28.349,7.724.943,"56,9","17,51",10.065.998
2017,2,7.401.134,28.53,7.429.664,"54,9","16,88",9.678.647
2017,1,7.277.314,28.54,7.305.854,"54,16","16,64",8.701.201
2016,4,7.223.128,28.545,7.251.673,"53,94","16,56",7.483.980
2016,3,7.178.340,28.61,7.206.950,"53,73","16,5",6.912.442
2016,2,7.097.604,32.475,7.130.079,"53,34","16,37",6.534.241
2016,1,6.874.704,32.652,6.907.356,"51,85","15,9",5.936.845
2015,4,6.952.289,32.542,6.984.831,"52,63","16,12",5.376.899
2015,3,6.902.267,32.801,6.935.068,"52,46","16,05",5.153.739
2015,2,6.783.279,32.909,6.816.188,"51,76","15,82",4.701.791
2015,1,6.699.714,38.018,6.737.732,"51,36","15,68",4.876.385
2014,4,6.559.172,39.324,6.598.496,"50,5","15,39",3.950.441
2014,3,6.559.264,36.007,6.595.271,"50,67","15,43",3.478.638
2014,2,6.428.329,36.139,6.464.468,"49,86","15,16",3.270.816
2014,1,6.362.108,36.29,6.398.398,"49,55","15,05",2.984.054
